Statement,Impact,StateLength
"මම නුවරඑළියේ ඉදන් කොළඹට ඇවිල්ලා ගායකයෙක් වෙන්න උත්සාහ කරන කෙනෙක්. Roshan fernando අයියා  කියන්නේ සංගීත ක්ෂේත්‍රයේ අවුරුදු ගාණක් අත්දැකීම් තියෙන එළිමහන් කණ්ඩායම් සංගීතයේ legend කෙනෙක්. ප්‍රථම වතාවට ෆ්ලෑෂ් බැක් ශබ්දාගාරයට ගියා practice වලට.

මෙහෙම ආදරණීය පිළිගැනීමක් සහ සහෝදරයන් පිරිසක් හමුවීමට ලැබීම ද මගේ ජීවිතයේ සතුටක් භාග්‍යයක්..

ඒ හැමදෙනාම සුන්දර මිනිසුන්.
අපි වේදිකාවේ දී අපි අපිව බෙදාගමු...බදා ගමු",Positive,403
"අද උදේ දැකපු සුන්දර දර්ශණයක්. නුගේගොඩ St.Johns College එකේ 
මට ඉන්දියාවේ Bhathkande University එකේ අපි ඉගෙන ගන්න කාලෙ මතක් උනා 
අපේ ගුරැවරැ ශිෂ්‍යයන් කාර්‍යමණ්ඩලය සියලුම දෙනා University එකට ඇතුල් වෙන්නේ ඒ පොලවට වැදලා
අද උදේ නුගේගොඩ St,Johns ලමයින්ගෙන් මම ඒ දේ දැක්කා 
ජයවේවා සියලුම සිසු දරැවන්ට 🙏🙏🙏",Positive,298
"Smoking is a bad habit 
Menda , Danee🏏✌.
Cricket lovely cricket   BR ඉන්න නිසා  150+  ඒ ඇති",Positive,91
"හෙළPay for Business
iOS App එක මේ වන විට Apple approval සඳහා යොමුකර ඇත. Approve වූ සැණින් දැනුවත් කරන්නම්.   
",Positive,112
"Shooting වලට නුවර ගියපු මගේ හිත ගිය තැනක්.. ❤️
හදිස්සියට shooting ගිය මට වැඩිපුර ඇඳුම් ටිකක් ඕනෙ උනා.
ඔන්න නුවර ඉන්න ඔයාලටයි, නුවර ලස්සන බලන්න යන ඔයාලටයි ඇඳුම් ගන්න යන්න හොඳම තැන තමයි මේ.. 
MBRK, Casual range වගේම active range එකට තමයි වැඩිපුරම මගේ හිත ගියේ. ඔයත් Kandy NOLIMIT එකට ගිහිල්ලම බලන්නකො.. 
#Nolimit #NolimitKandy #FashionSriLanka
NOLIMIT SRI LANKA",Positive,359
මේ ලස්සන අහිංසක මුහුනු වලට හිනාවක් ගේන්න අපිට පුලුවන් වුනේ ගෙවුනු සති අන්‍තයේ. මප/හඟු/ මන්දාරම්නුවර ප්‍රාථමික පාසලේ ඉගෙනුම ලබන දරුවන් 96 දෙනාටම අවශ්‍ය පාසල් උපකරණ ලබාදෙන්න අපිට හැකියාව ලැබුනේ Help Schools Foundation Sri Lanka සහය සහ මේ ඉන්න හිතවතුන්ගේ පරිත්‍යාගයෙන් බව මතක් කරන්නේ ඉතා කෘතවේදීවයි. හැමෝටම අමාරු කාලෙක මේ වගේ අහිංසක පුංචි දරුවන්‍ට උදව් උපකාර කරන්නට එක්වූ සැමට ස්තූතියි! ❤️,Positive,386
"හෙට දිනයේ ආරම්භ වන ආසියානු කුසලාන ක්‍රිකට් තරඟාවලියට සහභාගි වන Sri Lanka Cricket කණ්ඩායම ඇතුලු අනෙක් සියලුම රටවල ක්‍රීඩකයන් හට මගේ හද පිරි සුභ පැතුම් එක් කරනවා.
#asiacup",Positive,170
"අරගලයේ නියමුවන් දඩයම නවතනු !! 
Live video එකක් පදනම් කරගෙන පුද්ගලයෙකු අත්අඩංගුවට ගත හැකිනම්, වීඩියෝ වල රාජපක්ෂ, වික්‍රමසිංහලාගෙ සොරකම් ඝාතන පිලිඹද ඕනෑතරම් කියා ඇත. මුලින්ම උං අත්අඩංගුවට ගත යුතුයි. 
මතවාද ගැටුනු තැන් තිබුනත් සමාජ යුක්තිය වෙනුවෙන් පෙනීසිටි අරගලකරු Pathum Kerner වෙනුවෙන් යුක්තිය ඉටුවන තුරු කොන්දේසි විරහිතව පෙනී සිටිමි ! 
අනීතික අත්අඩංගුවට ගැනීම් තුලින් අරගලය මර්ධනය නවතනු !! 
#releasepathumkerner",Negative,412
"අපි අප්පච්චි වටේ ආඩම්බරෙන් ඉන්නවා වගේ එයා සුව වෙනකන් ‍රටක් බලන් ඉන්නවා,සුභ ප්‍රාර්ථනා කරනවා... ඉදල හිටල අමුනුස්සයෙක් තමන්ගේ FB reach එක වැඩිකරගන්න නරක ආරංචි පතුරුවනවා.. ඒ පුරෝගන්න පව් වලට අපිට කරන්න දෙයක් නෑ....අප්පච්චි සුව වෙමින් ඉන්නවා හැමෝගෙම ශක්තියෙන් එයා සුව වෙනවා.",Negative,270
"බ්‍රහ්මාස්ත්‍ර චිත්‍රපටියේ “කේසරියා” සිංදුවට cover එකක් කරන්න හිතුවා. @dimraaw_off ගේ music arrangement එකයි, @shithila_samadhi මල්ලිගේ video එකත් එක්ක ඔයාලාටම කරපු වැඩක් ❤️
Here’s a little cover rendition of “KESARIYA” I did together with @dimraaw_off’s music arrangement & @shithila_samadhi’s beautiful video skills. 
@aliaabhatt @ipritamofficial @ayan_mukerji",Positive,362
"එකාවගේ එකට රට දිනවන්න. Together as one, let's rally around Our Lions. Our Pride.",Positive,80
GOTA ගෙදර ගියේ නැත්නම් මේ රටට මිනිස්සු Dollars එවන එකක් නෑ ඒත් එයා ගෙදර ගියේ නැත්නම් තවත් චන්දයක් එනකන් අපිට පුලුවන්ද තවත් අවුරුදු දෙකක් survive වෙන්න ? We need solution now - ( keyboard heros watch the full video before you judge ),Negative,232
දේශපාලනඥයන් ගේ විකෘති VIP හැසිරීම් සමාජ මාධ්‍ය අවකාශයේ ලජ්ජාවට සහ අවමානයට පත්කිරිම (naming and shaming) සහ මහපාරේ ප්‍රතිරෝධය දැක්වීම හුදෙක් මතුපිට තලයේ ගන්න පුළුවන් පියවර පමණයි.ඒත් ඒක හොඳ ආරම්භයක් වෙන්න පුළුවන්.,Negative,211
"IMF කිඹුල් කඳුළු -
උද්ඝෝෂකයන් පිරිසක් ඉන්න වටපිටාවක, අහලපහලවත් IMF නියෝජිතයො එක්ක සාකච්ඡා සූදානම් කලා කියන්නෙම, මුන්ට ඕන IMF නොලැබෙන එකේ වරද උද්ඝෝෂකයන් පිට පටවන්න.
ඊයෙ රෑ ගේට්ටු අවහිර කරනකොට මොකුත්ම නොකර, අද උදේ වෙනකල්ම හිටියෙ, උන්ට ඕන IMF නොලැබෙන එක උද්ඝෝෂකයන් පිට පටවන්න.
මේ වගේ සාකච්ඡාවකට බාධාවක් ආවොත්, මොකක්ද කරන්නෙ කියල Contigency pan එකක් නෑ කියන්නෙම, නන්දෙ-රනිල් කොහොමත් ෆේල්.",Negative,384
"I challenge Dasun Shanaka, Bhanuka Rajapaksa and Chamika Karunaratne to beat me
I want you guys not only to beat me but hit many more sixes in this T20 World Cup

හයේ ඒව ගැහුවට කමක් නෑ හැබැයි බැට් එක නම් නැති කරගන්න එපා",Positive,219
"Having a hobby helps for better mental health. Amidst all the work stress that I had to go through, these fishes kept me company.

What is your hobby?

විනෝදාංශයක් තිබීම වඩා හොඳ මානසික සෞඛ්‍යයක් සඳහා උපකාරී වේ.
මට ඇති වූ සියලු වැඩ පීඩනය මැද, මාළු ඇති කිරීම මාගේ මානසික සෞඛ්යය ඉතා ඉහල මට්ටමක තබා ගැනීමට උප්කාරී උනා

ඔබ වැඩියෙන්ම කාලය යොදවන විනෝදාංශය කුමක්ද?",Positive,356
මට ආදරය කරන හැමදෙනාටම බොහොම ස්තූතයි මගේ Youtube Channel එක Subscribe කරන්න. ලස්සන දේවල් දැක ගන්න පුලුවන්  මෙන්න Link එක,Positive,120
"DUET WITH ME!!!! මාත් එක්ක මගේ ""හාදකම්"" ගීතයේ මේ අමාරු කොටස ගායනා කරලා share කරන්න...තෑගි දිනාගන්න... 
Who wants to Sing along to my new song ""HAADAKAM""?...who is up for a challenge?
Share your version of this adlib with me and win prizes....",Positive,242
"""පාර්ලිමේන්තු ඇතුලේ සිදු වෙන කිසි දෙයකට රටේ වෙන නීතියක් ඇතුලෙ වැඩ කරන්න බැහැ""

Property damage and other incidents that take place in the Parliament cannot be dealt with under regular laws of the country, Cabinet spokesman Minister Bandula Gunawardena said today",Negative,262
පසුගිය දා මා විසින් නොකල ප්‍රකාශයක් Fake account එහෙකින් සංසරණය වුනා.එහි නිරවද්‍යතාව සම්න්ධයෙන් FACT CRESCENDO SRI LANKA විමර්ශනයක් සිදුකලා . එහිදි ඔවුන් සිදු කරනු ලැබු තාක්ෂණික විමර්ශනයෙන් තහවුරු වුනෙ මා එසේ ප්‍රකාශයක් කළ නොමැති බවයි . Social media වල සංසරණය වන තොරතුරු වල නිරවද්‍යතාවය තහවුරු කරන ක්‍රමවේදයක ලොකු අඩුවක් ලංකාවේ අපිට තිබුණා..එයට විසදුමක් ලෙස FACT CRESCENDO SRI LANKA කරන මෙහෙවර ගැන ඔවුන්ව අගය කරන අතර ඔවුන්ට බෙහෙවින්  ස්තූතිවන්ත වෙනවා.,Negative,452
"සිංහල සිනමාවෙ අපෙsuperstar හෙට නිදහස් වෙනවා Ranjan Ramanayake අයියෙ ආවාටකමක් නැ අනෙ වදින්නම් කට වහාන් හිටපං😂හොරැ අල්ලන්න යන්න එපා කුඩ්ඩො හොයන්න යන්න එපා.තියන දෙයක් කාලා.ජානතාව වෙනුවෙන් කරන්න පුලුවන් දෙයක් කරන් ඉන්න.හොරැ නම් අල්ලන්න යන්නම එපා.ඉට පස්සෙ හොරැ එලියෙ තබ සතයක් හොරා නොකාපු
උබ ඇතුලේ දුක් විදිනවා",Negative,305
Ceylon tea හැමොම දන්නවා උනාට මේ දුක දන්නෙ මෙහෙම දුක් වින්ද අය විතරයි,Negative,68
දුනිත් ට දීපු වටින suprise gift එක මොකක්ද කියල බලන්න video එක බලන්න,Positive,67
"මේක advertising agency එකක්. Trend එකට set වෙන විදිහට ඔයාගෙ brand එක promote කරන්න, Social media platforms වල ඔයාගෙ brand එක hit එකක් කරලා දෙන්න Tribe Ads අපි ready.",Positive,165
සියලු  ප්‍රවේශපත් online system එකෙන්  පමණක්   පැය 48 න්  SOLD OUT කරපු තරුණ ව්‍යවසායකයා,Positive,88
Share කරලා ගොඩ දාන්න කොල්ලව. මරු Music Video එක,Positive,48
Thank you අලුතින් Join වෙච්ච YouTube premium membersලා 2000ට,Positive,60
"මචං උබලගෙ ගමේ / නගරෙ Fb,Whatsapp group වල මේ මැසේජ් එක Share කරපන්.
පිට පලාත් වල ඉන්න යාලුවොන්ටත් මේක දාන්න කියපන්..ඇවිස්සෙන්න එපා..ගෙවල් වලට වෙලා ඉන්න මේ වෙලාවෙ..මාසෙක මහන්සිය අපතෙ යන්න දෙන්න එපා..",Negative,198
ම්ම්ම් මම හැදුන වැඩුන කොල්ලුපිටිය අරලිය ගහ මන්දිරය ඉස්සරහ තියෙන මගේ පාසල මෙතෝදිස්ත විදුහල මුඩුක්කුවක් නම් මේ post එක දාපු මල්ලිගේ geographical knowledge එක ගැන දුකයි .,Negative,167
මෙහෙම හැංගිල post හදලා මඩ campaign කරන්නේ නැතුව එන්න්කෝ මල්ලි මුහුනට මුහුන සුහදව කතා කරන්න .,Negative,93
ලංකාවේ ව්‍යවසායක සංස්කෘතිය ක්‍රමයෙන් අභාවයට ගිය එක මේ රටට සිදු වුණු ලොකු ම ඛේදවාචකයක්. අද බොහෝ වෙලාවට ඒ තැන අරගෙන ඉන්නේ ජාවාරම්කාරයන් හෝ manipulators ලා පිරිසක්.,Negative,162
ඒත් මම දැක්කා සමාජ මාධ්‍ය ජාලා හරහා ඔහු අපහාසයට පත් වෙන ආකාරයේ posts සහ comments කිහිපයක් මේ දිනවල share වෙනවා.,Negative,111
ආසියානු කුසලානය ශ්‍රී ලංකාවට ගෙනල්ලා නැවතත් cricket වසන්තය උදාකරන්න අපි සූදානම්,Positive,79
ආසියානු කුසලානයේ ජයග්‍රහණය අභියස සිටින අපේ සිංහයන්ව දිරි ගැන්වීමට ශක්තියක් වෙන්න. dlg.lk/apekollo link එක වෙත පිවිසීමෙන් ඔබේ සුබ පැතුම එක් කරන්න.,Positive,145
"මගේ අලුත්ම සින්දුව 21 වෙනිදා release වෙනවා.. 
මෙන්න trailer එක 😊😊",Positive,66
මාස 3කට පසු රුසියානු Aeroflot ගුවන් සේවය නැවතත් ශ්‍රී ලංකාව සහ රුසියාව අතර ගුවන් ගමන් ආරම්භ කිරීම පිළිබඳව රුසියානු ජනාධිපතිතුමන් ඇතුළු රුසියානු බලධාරින්ට ස්තූතිවන්ත වෙමි.,Positive,170
මගේ ක්‍රිකට් ගමනට හැමදාමත් ශක්තියක් වුනේ මගේ fans ලා. ඒ අතරිනුත් මගේ වටිනාම fan මගේ තාත්තා!❤️,Positive,93
රටම හොරා කනකොට මේ නායකයින් කරන්නේ business එකක්..හැබැයි ඒවට විරුද්ධව රටේ මිනිසුන් නැගිටිනකොට ඒක violence එකක්..,Negative,111
මේ රට හදන්න බෑ Patta දූපත් වාසි ගෝත්‍රක වහල්ලු ඉන්න රටක් මේක 😂🤦‍♂️,Negative,66
"Live video එකක් පදනම් කරගෙන පුද්ගලයෙකු අත්අඩංගුවට ගත හැකිනම්, වීඩියෝ වල රාජපක්ෂ, වික්‍රමසිංහලාගෙ සොරකම් ඝාතන පිලිඹද ඕනෑතරම් කියා ඇත. මුලින්ම උං අත්අඩංගුවට ගත යුතුයි. ",Negative,166
මා විසින් සිදු කරන ලද Live වැඩසටහනක් ඇසුරින් සිදු කෙරෙන මෙම වංචාවට හසු නොවන්න. හැකිතාක් Report කරන්න.,Negative,101
මේ තියෙන්නේ අපේ #NoLeftism  campaign එකට බැනලා ලියපු ප්‍රතිඋත්තරයක්.,Negative,68
"අද අපේක්ෂාවේ නත්තල් උත්සවය මහරගම අපේක්ෂා රෝහලේ පැවැත්වුනා Heal broken heart මගින් නදුනි චන්චලා, සංජු සහ සාමාජික පිරිසක් විසින් සංවිධානය කරතිබූ මෙමෙ උත්සවයට මටත් ආරාධනය කලාට ස්තුතියි .",Positive,183
ටික්ටොක් ඉන්න දරුවොන්ගෙ ආරක්ෂාව ගැන තවදුරටත් දෙමව්පියො වශයෙන් බයවෙන්න දෙයක් නෑ! එයාලගෙ creativity එකට අත හිත දෙන ගමන් එයාලවත් ආරක්ෂා කරමු! ♥️🫶,Positive,142
